Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,59467.9466,11.1362,10.9559,0.1803,6.3832,10.1213,9.3975,0.7238,16.6422,11.9773,1.2594,59467.9466,NA,15.7671,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,59479.0828,11.6208,11.4251,0.1957,5.9181,11.5027,10.5997,0.9030,17.4833,9.8338,-0.8411,59479.0828,NA,15.7404,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,59490.7036,10.0077,9.7960,0.2117,5.8000,9.8122,9.2890,0.5232,15.6963,9.8019,1.7870,59490.7036,NA,15.5763,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,59500.7113,10.0847,9.8104,0.2743,5.6045,9.8255,9.4224,0.4031,15.4905,9.9849,0.2058,59500.7113,NA,15.3777,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,59510.7960,10.1226,9.8104,0.3122,5.3453,9.8842,9.4091,0.4751,15.3907,11.1450,0.0998,59510.7960,NA,15.3676,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,59520.9186,10.3125,10.0642,0.2483,5.2067,11.1287,9.9058,1.2229,16.4131,9.2821,-1.0224,59520.9186,NA,16.4953,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,59531.2311,9.9596,9.6821,0.2775,6.0229,9.2907,9.2907,0.0000,15.3827,9.9647,1.0304,59531.2311,NA,13.7907,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,59541.1907,9.9568,9.6187,0.3381,5.3540,9.9435,9.4402,0.5033,15.3878,10.7685,-0.0051,59541.1907,NA,13.7622,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,59551.1475,10.5350,10.3494,0.1856,5.4352,10.6651,9.6966,0.9685,16.1995,11.2158,-0.8117,59551.1475,NA,14.5209,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,59561.6825,11.3512,11.1424,0.2088,5.6731,11.1354,9.8991,1.2363,16.8803,11.5295,-0.6808,59561.6825,NA,15.7411,NA
Gw2-64.exe,23912,0x17985B6EA60,DXGI,0,0,1,Hardware Composed: Independent Flip,59573.0337,11.6869,11.4943,0.1926,5.4693,11.5273,10.6140,0.9133,17.0586,9.1068,-0.1783,59573.0337,NA,15.2713,NA
